Entry Name,Priority,Base PP,Type,Targets,Base Accuracy,Effect Accuracy,Makes Contact,Can Be Protected Against,Can Be Reflected By Magic Coat,Can Be Stolen By Snatch,Can Be Copied By Mirror Move,Gains Flinch Chance With King's Rock,Callable by Metronome,Copyable by Mimic,Callable by Assist,Callable by Sleep Talk,Is Sound Based,Has unspecified target,Is HM Move,Category,Has Risk Flag,Match Up Chart Type,Contest Appeal Jam Index,Contest Appeal Type,Base Power,Effect,Animation ID,Name ID,Unused String ID,Exclamation String ID,Description ID,Animation ID 2,Move Effect Type
"Seismic Toss"  - 69,0,20,Fight (1),Selected Target (0),100,0,true,true,false,false,false,true,true,true,true,true,false,true,false,Physical (1),false,4 (0x4),20,Tough (5),1,"damage equal to user's level" (87),69 (0x45),"Seismic Toss" (0x815),"MsgID 0x4FC2" (0x4FC2),"!" (0x4F72),"Inflicts damage identical[New Line]to the user's level." (0x2949),69 (0x45),Attack (1)
"Play Rough"  - 70,0,10,Fairy (9),Selected Target (0),90,10,true,true,false,false,false,false,true,true,true,true,false,true,false,Physical (1),false,1 (0x1),20,Tough (5),90,"hit and attack lowering chance" (68),70 (0x46),"Play Rough" (0x816),"MsgID 0x4FC1" (0x4FC1),"!" (0x4F6E),"The users plays with the[New Line]target and attacks it." (0x294A),70 (0x46),Attack (1)
"Absorb"  - 71,0,20,Grass (12),Selected Target (0),100,0,false,true,false,false,false,false,true,true,true,true,false,true,false,Special (2),false,1 (0x1),11,Smart (4),40,"hit and absorb 50%" (3),71 (0x47),"Absorb" (0x817),"MsgID 0x4FC2" (0x4FC2),"!" (0x4F71),"An attack that absorbs[New Line]half the damage inflicted." (0x294B),71 (0x47),Attack (1)
"Mega Drain"  - 72,0,10,Grass (12),Selected Target (0),100,0,false,true,false,false,false,false,true,true,true,true,false,true,false,Special (2),false,1 (0x1),13,Smart (4),55,"hit and absorb 50%" (3),72 (0x48),"Mega Drain" (0x818),"MsgID 0x4FC2" (0x4FC2),"!" (0x4F72),"An attack that absorbs[New Line]half the damage inflicted." (0x294C),72 (0x48),Attack (1)
"Leech Seed"  - 73,0,10,Grass (12),Selected Target (0),90,0,false,true,true,true,false,false,true,true,true,true,false,true,false,Neither (0),false,5 (0x5),12,Smart (4),0,"leech seed" (84),73 (0x49),"Leech Seed" (0x819),"MsgID 0x4FC2" (0x4FC2),"!" (0x4F72),"Plants a seed on the target[New Line]to steal HP on every turn." (0x294D),73 (0x49),Status Effect (5)
"Splash"  - 74,0,40,Normal (0),User (5),0,0,false,false,false,false,false,false,true,true,true,true,false,true,false,Neither (0),false,3 (0x3),31,Cute (3),0,"nothing...nothing at all" (85),150 (0x96),"Splash" (0x81A),"MsgID 0x4FC1" (0x4FC1),"!" (0x4F6E),"Does absolutely nothing." (0x294E),150 (0x96),None (0)
"Razor Leaf"  - 75,0,25,Grass (12),Both Foes (4),95,0,false,true,false,false,false,true,true,true,true,true,false,true,false,Special (2),false,1 (0x1),38,Cool (1),55,"high crit ratio" (43),75 (0x4B),"Razor Leaf" (0x81B),"MsgID 0x4FC2" (0x4FC2),"!" (0x4F72),"Cuts the enemy with leaves.[New Line]High critical-hit ratio." (0x294F),75 (0x4B),Attack (1)
"Solarbeam"  - 76,0,10,Grass (12),Selected Target (0),100,0,false,true,false,false,false,true,true,true,true,false,false,true,false,Special (2),false,1 (0x1),1,Cool (1),120,"first turn charge except in sunlight" (151),76 (0x4C),"Solarbeam" (0x81C),"MsgID 0x4FC2" (0x4FC2),"!" (0x4F72),"Absorbs light in one turn,[New Line]then attacks next turn." (0x2950),76 (0x4C),Attack (1)
"Flame Charge"  - 77,0,20,Fire (10),Selected Target (0),100,100,true,true,false,false,false,true,true,true,true,true,false,true,false,Physical (1),true,6 (0x6),28,Smart (4),50,"unused - 96" (96),99 (0x63),"Flame Charge" (0x81D),"MsgID 0x4FC2" (0x4FC2),"!" (0x4F72),"A flaming tackle that[New Line]builds up speed." (0x2951),99 (0x63),Attack (1)
"Stun Spore"  - 78,0,30,Grass (12),Selected Target (0),75,0,false,true,true,false,false,false,true,true,true,true,false,true,false,Neither (0),false,15 (0xF),46,Smart (4),0,"paralyzes foe" (67),78 (0x4E),"Stun Spore" (0x81E),"MsgID 0x4FC2" (0x4FC2),"!" (0x4F72),"Scatters a powder that may[New Line]paralyze the target." (0x2952),78 (0x4E),Status Effect (5)
"Sleep Powder"  - 79,0,5,Grass (12),Selected Target (0),75,0,false,true,true,false,false,false,true,true,true,true,false,true,false,Neither (0),false,15 (0xF),14,Smart (4),0,"puts foe to sleep" (1),79 (0x4F),"Sleep Powder" (0x81F),"MsgID 0x4FC2" (0x4FC2),"!" (0x4F72),"Scatters a powder that may[New Line]cause the target to sleep." (0x2953),79 (0x4F),Status Effect (5)
"Shadow Tantrum"  - 80,0,5,Normal (0),Random (3),90,100,true,true,false,false,false,true,true,true,true,true,false,true,true,Physical (1),false,2 (0x2),49,Cool (1),130,"2-3 turn rampage then user becomes confused" (27),37 (0x25),"Shadow Tantrum" (0x820),"MsgID 0x4FC2" (0x4FC2),"!" (0x4F72),"A wild rampage lasting[New Line]multiple turns." (0x2954),37 (0x25),Attack (1)
"Leech Life"  - 81,0,10,Bug (6),Selected Target (0),100,0,true,true,false,false,false,true,false,true,false,true,false,true,false,Physical (1),false,3 (0x3),48,Cute (3),80,"hit and absorb 50%" (3),141 (0x8D),"Leech Life" (0x821),"MsgID 0x4FC1" (0x4FC1),"!" (0x4F6E),"Drains the target's blood[New Line]to restore HP." (0x2A23),141 (0x8D),Attack (1)
"Dragon Rage"  - 82,0,10,Dragon (16),Selected Target (0),100,0,false,true,false,false,false,true,true,true,true,true,false,true,false,Special (2),false,15 (0xF),34,Cool (1),1,"always 40 damage exactly" (41),82 (0x52),"Dragon Rage" (0x822),"MsgID 0x4FC2" (0x4FC2),"!" (0x4F72),"Launches shock waves that[New Line]always inflict 40 HP damage." (0x2956),82 (0x52),Attack (1)
"Fire Spin"  - 83,0,15,Fire (10),Selected Target (0),85,100,false,true,false,false,false,true,true,true,true,true,false,true,false,Special (2),false,1 (0x1),48,Beauty (2),35,"hit and traps foe" (42),83 (0x53),"Fire Spin" (0x823),"MsgID 0x4FC2" (0x4FC2),"!" (0x4F72),"Traps the target in a ring[New Line]of fire for 2 to 5 turns." (0x2957),83 (0x53),Attack (1)
"Thunder Shock"  - 84,0,30,Electr (13),Selected Target (0),100,10,false,true,false,false,false,false,true,true,true,true,false,true,false,Special (2),false,1 (0x1),1,Cool (1),40,"hit and paralyze chance" (6),84 (0x54),"Thunder Shock" (0x824),"MsgID 0x4FC2" (0x4FC2),"!" (0x4F72),"An electrical attack that[New Line]may paralyze the target." (0x2958),84 (0x54),Attack (1)
"Thunderbolt"  - 85,0,15,Electr (13),Selected Target (0),100,10,false,true,false,false,false,false,true,true,true,true,false,true,false,Special (2),false,1 (0x1),1,Cool (1),90,"hit and paralyze chance" (6),85 (0x55),"Thunderbolt" (0x825),"MsgID 0x4FC2" (0x4FC2),"!" (0x4F72),"A strong electrical attack.[New Line]It may paralyze the target." (0x2959),85 (0x55),Attack (1)
"Thunder Wave"  - 86,0,20,Electr (13),Selected Target (0),90,0,false,true,true,false,false,false,true,true,true,true,false,true,false,Neither (0),false,7 (0x7),46,Cool (1),0,"paralyzes foe" (67),86 (0x56),"Thunder Wave" (0x826),"MsgID 0x4FC2" (0x4FC2),"!" (0x4F72),"A weak jolt of electricity[New Line]that paralyzes the target." (0x295A),86 (0x56),Status Effect (5)
"Thunder"  - 87,0,10,Electr (13),Selected Target (0),70,30,false,true,false,false,false,false,true,true,true,true,false,true,false,Special (2),false,1 (0x1),12,Cool (1),110,"paralyzes foe, 100% accuracy in rain, hit foes in air" (152),87 (0x57),"Thunder" (0x827),"MsgID 0x4FC2" (0x4FC2),"!" (0x4F72),"A lightning attack that may[New Line]cause paralysis." (0x295B),87 (0x57),Attack (1)
"Rock Throw"  - 88,0,15,Rock (5),Selected Target (0),90,0,false,true,false,true,false,true,true,true,true,true,false,true,false,Physical (1),false,1 (0x1),36,Tough (5),50,No effect (0),350 (0x15E),"Rock Throw" (0x828),"MsgID 0x4FC2" (0x4FC2),"!" (0x4F72),"Throws small rocks to[New Line]strike the target." (0x295C),350 (0x15E),Attack (1)
"Earthquake"  - 89,0,10,Ground (4),Both Foes and Ally (6),100,0,false,true,false,false,false,true,true,true,true,true,false,true,false,Physical (1),false,1 (0x1),14,Tough (5),100,"hit all adjacent pokemon including underground targets" (147),89 (0x59),"Earthquake" (0x829),"MsgID 0x4FC2" (0x4FC2),"!" (0x4F71),"A strong quake, has no[New Line]effect on flying targets." (0x295D),89 (0x59),Attack (1)
"Dragon Hammer"  - 90,0,10,Dragon (16),Selected Target (0),100,0,true,true,false,false,false,true,true,true,true,false,false,true,false,Physical (1),false,1 (0x1),13,Tough (5),90,No effect (0),276 (0x114),"Dragon Hammer" (0x82A),"MsgID 0x4FC2" (0x4FC2),"!" (0x4F72),"Uses its body like a[New Line]raging hammer." (0x295E),276 (0x114),Attack (1)
"Energy Ball"  - 91,0,10,Grass (12),Selected Target (0),100,10,false,true,false,true,false,false,true,true,true,false,false,true,false,Special (2),false,1 (0x1),6,Smart (4),90,"hit and special defense lowering chance" (72),345 (0x159),"Energy Ball" (0x82B),"MsgID 0x4FC2" (0x4FC2),"!" (0x4F71),"Draws from the power of[New Line]nature and then launches." (0x295F),345 (0x159),Attack (1)
"Toxic"  - 92,0,10,Poison (3),Selected Target (0),90,0,false,true,true,false,false,false,true,true,true,true,false,true,false,Neither (0),false,6 (0x6),28,Smart (4),0,"badly poisons foe" (33),92 (0x5C),"Toxic" (0x82C),"MsgID 0x4FC2" (0x4FC2),"!" (0x4F71),"Poisons the target with[New Line]an intensifying toxin." (0x2960),92 (0x5C),Status Effect (5)
"Confusion"  - 93,0,25,Psychc (14),Selected Target (0),100,10,false,true,false,false,false,false,true,true,true,true,false,true,false,Special (2),false,1 (0x1),11,Smart (4),50,"hit and confusion chance" (76),93 (0x5D),"Confusion" (0x82D),"MsgID 0x4FC2" (0x4FC2),"!" (0x4F72),"A psychic attack that may[New Line]cause confusion." (0x2961),93 (0x5D),Attack (1)
"Psychic"  - 94,0,10,Psychc (14),Selected Target (0),100,10,false,true,false,false,false,false,true,true,true,true,false,true,false,Special (2),false,1 (0x1),14,Smart (4),90,"hit and special defense lowering chance" (72),94 (0x5E),"Psychic" (0x82E),"MsgID 0x4FC2" (0x4FC2),"!" (0x4F72),"A powerful psychic attack[New Line]that may lower Sp. Def." (0x2962),94 (0x5E),Attack (1)
"Hypnosis"  - 95,0,20,Psychc (14),Selected Target (0),60,0,false,true,true,false,false,false,true,true,true,true,false,true,false,Neither (0),false,15 (0xF),14,Smart (4),0,"puts foe to sleep" (1),95 (0x5F),"Hypnosis" (0x82F),"MsgID 0x4FC2" (0x4FC2),"!" (0x4F72),"A hypnotizing move that[New Line]may induce sleep." (0x2963),95 (0x5F),Status Effect (5)
"Ice Shard"  - 96,1,30,Ice (15),Selected Target (0),100,0,false,true,false,true,false,true,true,true,true,true,false,true,false,Physical (1),false,3 (0x3),39,Beauty (2),40,"increased priority (still need to set priority field)" (103),181 (0xB5),"Ice Shard" (0x830),"MsgID 0x4FC1" (0x4FC1),"!" (0x4F70),"Hurls flash frozen ice[New Line]to strike first." (0x2964),181 (0xB5),Attack (1)
"Agility"  - 97,0,30,Psychc (14),User (5),0,0,false,false,false,false,false,false,true,true,true,true,false,true,false,Neither (0),false,3 (0x3),41,Cool (1),0,"sharply boosts speed" (52),97 (0x61),"Agility" (0x831),"MsgID 0x4FC1" (0x4FC1),"!" (0x4F70),"Relaxes the body to sharply[New Line]boost Speed." (0x2965),97 (0x61),Stat Buff (4)
"Quick Attack"  - 98,1,30,Normal (0),Selected Target (0),100,0,true,true,false,false,false,true,true,true,true,true,false,true,false,Physical (1),false,1 (0x1),41,Cool (1),40,"increased priority (still need to set priority field)" (103),98 (0x62),"Quick Attack" (0x832),"MsgID 0x4FC2" (0x4FC2),"!" (0x4F72),"An extremely fast attack[New Line]that always strikes first." (0x2966),98 (0x62),Attack (1)
"Icicle Crash"  - 99,0,10,Ice (15),Selected Target (0),90,30,false,true,false,true,false,false,true,true,true,true,false,true,false,Physical (1),false,1 (0x1),4,Cool (1),85,"hit and flinch chance" (31),333 (0x14D),"Icicle Crash" (0x833),"MsgID 0x4FC2" (0x4FC2),"!" (0x4F72),"Drops icicles which may[New Line]cause flinching." (0x2967),333 (0x14D),Attack (1)
"Teleport"  - 100,0,20,Psychc (14),User (5),0,0,false,false,false,false,false,false,true,true,true,true,false,true,false,Neither (0),false,3 (0x3),6,Cool (1),0,"teleports from battle" (153),100 (0x64),"Teleport" (0x834),"MsgID 0x4FC1" (0x4FC1),"!" (0x4F6F),"A psychic move for fleeing[New Line]from battle instantly." (0x2968),100 (0x64),Misc4 (13)
"Night Shade"  - 101,0,15,Ghost (7),Selected Target (0),100,0,false,true,false,false,false,true,true,true,true,true,false,true,false,Special (2),false,9 (0x9),20,Smart (4),1,"damage equal to user's level" (87),101 (0x65),"Night Shade" (0x835),"MsgID 0x4FC2" (0x4FC2),"!" (0x4F72),"Inflicts damage identical[New Line]to the user's level." (0x2969),101 (0x65),Attack (1)
"Tail Glow"  - 102,0,20,Bug (6),User (5),0,0,false,true,false,false,false,true,true,true,true,true,false,true,false,Neither (0),false,1 (0x1),48,Tough (5),0,"unused - 64" (64),294 (0x126),"Tail Glow" (0x836),"MsgID 0x4FC1" (0x4FC1),"!" (0x4F6E),"Flashes a light which[New Line]drastically raises Sp.atk." (0x296A),294 (0x126),Stat Buff (4)
"Screech"  - 103,0,40,Normal (0),Selected Target (0),85,0,false,true,true,false,false,false,true,true,true,true,true,true,false,Neither (0),false,15 (0xF),14,Smart (4),0,"harshly lowers foes defense" (59),103 (0x67),"Screech" (0x837),"MsgID 0x4FC2" (0x4FC2),"!" (0x4F71),"Screeches to sharply lower[New Line]the target's Defense." (0x296B),103 (0x67),Stat Nerf (3)
"Double Team"  - 104,0,15,Normal (0),User (5),0,0,false,false,false,false,false,false,true,true,true,true,false,true,false,Neither (0),false,3 (0x3),5,Cool (1),0,"raises evasiveness" (16),104 (0x68),"Double Team" (0x838),"MsgID 0x4FC1" (0x4FC1),"!" (0x4F70),"Creates illusory copies to[New Line]raise evasiveness." (0x296C),104 (0x68),Stat Buff (4)
"Recover"  - 105,0,20,Normal (0),User (5),0,0,false,false,false,false,false,false,true,true,true,true,false,true,false,Neither (0),false,3 (0x3),20,Smart (4),0,"restores 50% hp" (32),105 (0x69),"Recover" (0x839),"MsgID 0x4FC1" (0x4FC1),"!" (0x4F6F),"Recovers up to half the[New Line]user's maximum HP." (0x296D),105 (0x69),Healing (2)
"Seed Bomb"  - 106,0,15,Grass (12),Selected Target (0),100,0,false,true,false,true,false,true,true,true,true,true,false,true,false,Physical (1),false,3 (0x3),5,Tough (5),80,No effect (0),331 (0x14B),"Seed Bomb" (0x83A),"MsgID 0x4FC1" (0x4FC1),"!" (0x4F6E),"Spits hard seeds at[New Line]the foe." (0x296E),331 (0x14B),Attack (1)
"Payback"  - 107,-4,10,Dark (17),Selected Target (0),100,0,true,true,false,false,false,true,true,true,true,true,false,true,false,Physical (1),false,1 (0x1),48,Tough (5),50,"double damage if user has been hit this turn" (185),251 (0xFB),"Payback" (0x83B),"MsgID 0x4FC1" (0x4FC1),"!" (0x4F6E),"Damage doubles if user[New Line]has taken damage this turn." (0x296F),251 (0xFB),Attack (1)
"Smokescreen"  - 108,0,20,Fire (10),Selected Target (0),100,0,false,true,true,false,false,false,true,true,true,true,false,true,false,Neither (0),false,15 (0xF),17,Smart (4),0,"lowers opponents accuracy" (23),108 (0x6C),"Smokescreen" (0x83C),"MsgID 0x4FC1" (0x4FC1),"!" (0x4F6E),"Lowers target's accuracy[New Line]using smoke, ink, etc." (0x2970),108 (0x6C),Stat Nerf (3)
"Confuse Ray"  - 109,0,10,Ghost (7),Selected Target (0),100,0,false,true,true,false,false,false,true,true,true,true,false,true,false,Neither (0),false,15 (0xF),44,Smart (4),0,"confuses opponent" (49),109 (0x6D),"Confuse Ray" (0x83D),"MsgID 0x4FC2" (0x4FC2),"!" (0x4F72),"A sinister ray that[New Line]confuses the target." (0x2971),109 (0x6D),Status Effect (5)
"Dragon Pulse"  - 110,0,10,Dragon (16),Selected Target (0),100,0,false,true,false,false,true,true,true,true,true,true,false,true,false,Special (2),false,3 (0x3),6,Cute (3),85,No effect (0),149 (0x95),"Dragon Pulse" (0x83E),"MsgID 0x4FC1" (0x4FC1),"!" (0x4F6E),"The user launches a shockwave[New Line]from its gaping mouth." (0x2972),149 (0x95),Attack (1)
"Coil"  - 111,0,20,Poison (3),User (5),0,10,false,false,false,false,false,false,true,true,true,true,false,true,false,Neither (0),false,1 (0x1),44,Beauty (2),0,"unused - 61" (61),349 (0x15D),"Coil" (0x83F),"MsgID 0x4FC2" (0x4FC2),"!" (0x4F72),"Coils up to increase[New Line]Atk, Def and Acc." (0x2973),106 (0x6A),Stat Buff (4)
"Shell Smash"  - 112,0,15,Normal (0),User (5),0,0,false,false,false,false,false,false,true,true,true,true,false,true,false,Neither (0),false,3 (0x3),6,Cool (1),0,"unused - 74" (74),110 (0x6E),"Shell Smash" (0x840),"MsgID 0x4FC2" (0x4FC2),"!" (0x4F72),"Creates a barrier that[New Line]sharply raises Defense." (0x2974),110 (0x6E),Stat Buff (4)
"Light Screen"  - 113,0,30,Psychc (14),User (5),0,0,false,false,false,false,false,false,true,true,true,true,false,true,false,Neither (0),false,3 (0x3),6,Beauty (2),0,"sets up light screen" (35),113 (0x71),"Light Screen" (0x841),"MsgID 0x4FC2" (0x4FC2),"!" (0x4F72),"Creates a wall of light that[New Line]lowers Sp. Atk damage." (0x2975),113 (0x71),Field Effect (6)
"Shadow Analysis"  - 114,-1,5,Normal (0),Selected Target (0),95,0,true,true,false,false,false,true,true,true,true,true,false,true,true,Physical (1),false,2 (0x2),49,Cool (1),85,"randomly heals or damages foe" (122),4 (0x4),"Shadow Analysis" (0x842),"MsgID 0x4FC2" (0x4FC2),"!" (0x4F72),"Watches the foe's move[New Line]then disables it." (0x2976),4 (0x4),Attack (1)
"Reflect"  - 115,0,20,Psychc (14),User (5),0,0,false,false,false,false,false,false,true,true,true,true,false,true,false,Neither (0),false,3 (0x3),6,Smart (4),0,"sets up reflect" (65),115 (0x73),"Reflect" (0x843),"MsgID 0x4FC2" (0x4FC2),"!" (0x4F72),"Creates a wall of light that[New Line]weakens physical attacks." (0x2977),115 (0x73),Field Effect (6)
"Circle Throw"  - 116,-1,20,Fight (1),Selected Target (0),100,0,true,true,false,false,false,true,true,true,true,true,false,true,false,Physical (1),false,3 (0x3),14,Cool (1),60,"switch opponent out" (28),233 (0xE9),"Circle Throw" (0x844),"MsgID 0x4FC2" (0x4FC2),"!" (0x4F72),"Tosses the foe back[New Line]to its trainer." (0x2978),233 (0xE9),Attack (1)
"Roost"  - 117,0,20,Flying (2),User (5),0,0,false,false,false,false,false,false,true,true,true,true,false,true,false,Neither (0),false,3 (0x3),20,Tough (5),0,"restores 50% hp" (32),297 (0x129),"Roost" (0x845),"MsgID 0x4FC1" (0x4FC1),"!" (0x4F6F),"The user rests its wings[New Line]to regain energy." (0x2979),297 (0x129),Healing (2)
"Hammer Arm"  - 118,0,10,Fight (1),Selected Target (0),90,0,true,true,false,false,false,true,false,false,false,false,false,true,false,Physical (1),false,10 (0xA),4,Cute (3),100,"unused - 110" (110),21 (0x15),"Hammer Arm" (0x846),"MsgID 0x4FC2" (0x4FC2),"!" (0x4F71),"A heavy swing that[New Line]lowers the user's speed." (0x297A),21 (0x15),Attack (1)
"Close Combat"  - 119,0,5,Fight (1),Selected Target (0),100,0,true,true,false,false,false,true,true,true,false,false,false,true,false,Physical (1),false,10 (0xA),33,Smart (4),120,"unused - 131" (131),5 (0x5),"Close Combat" (0x847),"MsgID 0x4FC2" (0x4FC2),"!" (0x4F72),"Fights without guarding.[New Line]Lowers the user's defenses." (0x297B),5 (0x5),Attack (1)
"Shadow Combo"  - 120,0,5,Normal (0),Selected Target (0),95,0,true,true,false,false,false,true,true,true,true,true,false,true,true,Physical (1),false,2 (0x2),49,Cool (1),18,"2-5 hits" (29),33 (0x21),"Shadow Combo" (0x848),"MsgID 0x4FC2" (0x4FC2),"!" (0x4F72),"Charges the foe 2-5 times[New Line]without letting it respond." (0x297C),33 (0x21),Attack (1)
"Leaf Storm"  - 121,0,5,Grass (12),Selected Target (0),90,0,false,true,false,false,false,true,true,true,true,true,false,true,false,Special (2),false,1 (0x1),1,Tough (5),130,"hit then sharply lowers user's special attack" (204),75 (0x4B),"Leaf Storm" (0x849),"MsgID 0x4FC1" (0x4FC1),"!" (0x4F6E),"Fires a flurry of sharp[New Line]leaves." (0x297D),75 (0x4B),Attack (1)
"Lick"  - 122,0,30,Ghost (7),Selected Target (0),100,30,true,true,false,false,false,false,true,true,true,true,false,true,false,Physical (1),false,1 (0x1),13,Tough (5),30,"hit and paralyze chance" (6),122 (0x7A),"Lick" (0x84A),"MsgID 0x4FC2" (0x4FC2),"!" (0x4F71),"Licks with a long tongue to[New Line]injure. May also paralyze." (0x297E),122 (0x7A),Attack (1)
"Brave Bird"  - 123,0,15,Flying (2),Selected Target (0),100,0,true,true,false,false,false,true,true,true,true,true,false,true,false,Physical (1),false,1 (0x1),14,Tough (5),120,"hit with 33% recoil" (198),12 (0xC),"Brave Bird" (0x84B),"MsgID 0x4FC1" (0x4FC1),"!" (0x4F6E),"A reckless dive with[New Line]massive recoil." (0x297F),12 (0xC),Attack (1)
"Sludge"  - 124,0,20,Poison (3),Selected Target (0),100,30,false,true,false,true,false,false,true,true,true,true,false,true,false,Special (2),false,1 (0x1),13,Tough (5),65,"hit and poison chance" (2),124 (0x7C),"Sludge" (0x84C),"MsgID 0x4FC2" (0x4FC2),"!" (0x4F72),"Sludge is hurled to inflict[New Line]damage. May also poison." (0x2980),124 (0x7C),Attack (1)
"Dragon Dance"  - 125,0,1,Dark (17),User (5),0,0,false,false,false,false,false,false,true,true,true,true,false,true,false,Neither (0),true,1 (0x1),18,Tough (5),0,"raises attack and speed" (212),349 (0x15D),"Dragon Dance" (0x92D),"MsgID 0x4FC1" (0x4FC1),"!" (0x4F6E),None (0x0),349 (0x15D),Stat Buff (4)
"Fire Blast"  - 126,0,5,Fire (10),Selected Target (0),85,10,false,true,false,false,true,false,true,true,true,true,false,true,false,Special (2),false,1 (0x1),1,Beauty (2),110,"hit and burn chance" (4),126 (0x7E),"Fire Blast" (0x84E),"MsgID 0x4FC2" (0x4FC2),"!" (0x4F72),"A fiery blast that may[New Line]cause a burn." (0x2982),126 (0x7E),Attack (1)
"Waterfall"  - 127,0,15,Water (11),Selected Target (0),100,20,true,true,false,false,false,false,true,true,true,true,false,true,false,Physical (1),false,1 (0x1),31,Tough (5),80,"hit and flinch chance" (150),127 (0x7F),"Waterfall" (0x84F),"MsgID 0x4FC2" (0x4FC2),"!" (0x4F72),"Charges the target with[New Line]speed to climb waterfalls." (0x2983),127 (0x7F),Attack (1)
"Shadow Switch"  - 128,0,5,Normal (0),Selected Target (0),90,0,false,true,false,false,false,true,true,true,true,true,false,true,true,Special (2),false,2 (0x2),49,Cool (1),60,"transforms into opponent" (57),247 (0xF7),"Shadow Switch" (0x850),"MsgID 0x4FC2" (0x4FC2),"!" (0x4F72),"After it attacks, it[New Line]rushes to switch out." (0x2A25),247 (0xF7),Attack (1)
"Calm Mind"  - 129,0,1,Dark (17),User (5),0,0,false,false,false,false,false,false,true,true,true,true,false,true,false,Neither (0),false,1 (0x1),30,Cool (1),0,"raises special attack and special defense" (211),347 (0x15B),"Calm Mind" (0x92B),"MsgID 0x4FC2" (0x4FC2),"!" (0x4F72),None (0x0),347 (0x15B),Stat Buff (4)
"Power-Up Punch"  - 130,0,20,Fight (1),Selected Target (0),100,100,true,true,false,false,false,true,true,true,true,false,false,true,false,Physical (1),false,1 (0x1),13,Tough (5),40,"hit and chance to raise user's attack" (139),179 (0xB3),"Power-Up Punch" (0x852),"MsgID 0x4FC2" (0x4FC2),"!" (0x4F72),"Hardens the user's fist[New Line]raising Atk each hit." (0x2986),179 (0xB3),Attack (1)
"Head Smash"  - 131,0,5,Rock (5),Selected Target (0),80,0,true,true,false,false,false,true,true,true,true,true,false,true,false,Physical (1),false,1 (0x1),18,Cool (1),150,"hit with 33% recoil" (198),38 (0x26),"Head Smash" (0x853),"MsgID 0x4FC2" (0x4FC2),"!" (0x4F72),"A devastating headbutt that[New Line]hurts the user terribly." (0x2987),38 (0x26),Attack (1)
"Shadow Shake"  - 132,0,5,Normal (0),Both Foes and Ally (6),100,0,false,true,false,false,false,true,true,true,true,true,false,true,true,Physical (1),false,2 (0x2),49,Cool (1),100,"hit all adjacent pokemon including underground targets" (147),89 (0x59),"Shadow Shake" (0x854),"MsgID 0x4FC2" (0x4FC2),"!" (0x4F71),"A powerful tremor hits all[New Line]grounded Pokémon in play." (0x2988),89 (0x59),Attack (1)
"Psyshock"  - 133,0,10,Psychc (14),Selected Target (0),100,0,false,true,false,true,false,true,true,true,true,true,false,true,false,Special (2),false,3 (0x3),39,Cute (3),80,"unused - 14" (14),290 (0x122),"Psyshock" (0x855),"MsgID 0x4FC1" (0x4FC1),"!" (0x4F6F),"Manifests physical objects[New Line]to hit defenses." (0x2989),290 (0x122),Attack (1)
"Discharge"  - 134,0,15,Electr (13),Both Foes and Ally (6),100,30,false,true,false,false,false,false,true,true,true,true,false,true,false,Special (2),false,15 (0xF),48,Smart (4),80,"builds rage" (81),84 (0x54),"Discharge" (0x856),"MsgID 0x4FC2" (0x4FC2),"!" (0x4F72),"Looses sparks in[New Line]all directions." (0x298A),84 (0x54),Attack (1)
"Psychic Fangs"  - 135,0,15,Psychc (14),Selected Target (0),100,0,true,true,false,false,false,true,true,true,true,true,false,true,false,Physical (1),false,1 (0x1),13,Cool (1),85,"hit and breaks lightscreen, barrier and reflect" (186),158 (0x9E),"Psychic Fangs" (0x857),"MsgID 0x4FC1" (0x4FC1),"!" (0x4F70),"Bite with fangs which can[New Line]tear through screens." (0x298B),158 (0x9E),Attack (1)
"Hi Jump Kick"  - 136,0,5,Fight (1),Selected Target (0),90,0,true,true,false,false,false,true,true,true,true,true,false,true,false,Physical (1),true,1 (0x1),2,Cool (1),130,"damages user if misses" (45),136 (0x88),"Hi Jump Kick" (0x858),"MsgID 0x4FC2" (0x4FC2),"!" (0x4F72),"A jumping knee kick. If it[New Line]misses, the user is hurt." (0x298C),136 (0x88),Attack (1)
"Glare"  - 137,0,30,Normal (0),Selected Target (0),100,0,false,true,true,false,false,false,true,true,true,true,false,true,false,Neither (0),false,4 (0x4),14,Tough (5),0,"paralyzes foe" (67),184 (0xB8),"Glare" (0x859),"MsgID 0x4FC2" (0x4FC2),"!" (0x4F72),"Intimidates and frightens[New Line]the target into paralysis." (0x298D),184 (0xB8),Status Effect (5)
"Shadow Scream"  - 138,0,5,Normal (0),Both Foes (4),90,50,false,true,false,false,false,true,true,true,true,true,true,true,true,Special (2),false,2 (0x2),49,Cool (1),60,"hit and special attack lowering chance" (71),253 (0xFD),"Shadow Scream" (0x85A),"MsgID 0x4FC2" (0x4FC2),"!" (0x4F72),"Lets out a terrible scream[New Line]that may lower Sp.Atk." (0x298E),253 (0xFD),Attack (1)
"Shadow Claw"  - 139,0,15,Ghost (7),Selected Target (0),100,0,true,true,false,false,false,true,true,true,true,true,false,true,false,Physical (1),false,6 (0x6),28,Smart (4),70,"high crit ratio" (43),306 (0x132),"Shadow Claw" (0x85B),"MsgID 0x4FC2" (0x4FC2),"!" (0x4F71),"Slashes with sharp claws[New Line]made from shadows." (0x298F),306 (0x132),Attack (1)
